id,value
id_0,25.4782427782
id_1,64.1365672813
id_2,19.6367288913
id_3,30.4779720164
id_4,10.6959057201
id_5,30.043982506
id_6,41.3543577765
id_7,17.0720866766
id_8,50.1235218009
id_9,32.3710775784
id_10,38.6555682612
id_11,60.5874841125
id_12,35.3303574908
id_13,37.3548338484
id_14,26.59540014
id_15,13.6647911495
id_16,50.7217850558
id_17,23.9653498033
id_18,15.0167830986
id_19,15.2415106561
id_20,15.1067255266
id_21,29.1492786616
id_22,38.8952031333
id_23,14.2548208748
id_24,62.6698890695
id_25,46.7822470946
id_26,28.0409744834
id_27,8.28153348626
id_28,29.0432616602
id_29,36.266063284
id_30,14.8549106536
id_31,11.8213307909
id_32,17.011475329
id_33,11.0869949737
id_34,16.2776241988
id_35,38.2138348639
id_36,21.9681319298
id_37,26.5842378623
id_38,10.1055756594
id_39,60.9295038071
id_40,46.6628120954
id_41,22.5888279278
id_42,53.3692534317
id_43,20.1797396483
id_44,44.6511008121
id_45,47.2124688315
id_46,56.4120227917
id_47,41.3807013772
id_48,56.6889348616
id_49,39.8262275109
id_50,30.077617987
id_51,22.4502224213
id_52,41.0925107307
id_53,23.6650927556
id_54,36.6778437026
id_55,39.2416920597
id_56,24.5301684086
id_57,20.9356572277
id_58,35.4457600528
id_59,32.0817992028
id_60,10.6334302847
id_61,23.2191237344
id_62,30.1850960162
id_63,52.0600011236
id_64,49.9627053376
id_65,26.3364651237
id_66,37.3004553116
id_67,50.6606492047
id_68,28.0852700441
id_69,38.5246987811
id_70,65.2487256092
id_71,54.9382389234
id_72,41.8374658738
id_73,14.7815152154
id_74,14.2478155858
id_75,34.9721963439
id_76,64.4305310621
id_77,3.23156195631
id_78,40.2053625015
id_79,39.3865251396
id_80,10.0911626491
id_81,20.808952623
id_82,5.67992986399
id_83,31.1737798964
id_84,8.06783201464
id_85,7.84776631777
id_86,16.736015642
id_87,11.9426314287
id_88,20.1483550152
id_89,22.6482758326
id_90,33.9758432067
id_91,12.6695056434
id_92,13.2759410373
id_93,12.7766836845
id_94,35.9856943264
id_95,16.7582423092
id_96,15.4617274744
id_97,8.74213892219
id_98,11.0276775047
id_99,8.56940094975
id_100,9.4565066137
id_101,18.8113506736
id_102,10.9359493831
id_103,10.074807503
id_104,13.0507442811
id_105,35.0805022076
id_106,25.131109594
id_107,10.0159082256
id_108,16.9131056385
id_109,16.7817509033
id_110,11.0609354446
id_111,12.9475072441
id_112,17.6302451753
id_113,23.8312247919
id_114,17.1843372052
id_115,17.1603677497
id_116,7.39829603971
id_117,42.7941371718
id_118,24.4174313394
id_119,4.13973732866
id_120,-3.45005201151
id_121,8.36399260219
id_122,11.1597081654
id_123,11.4854708737
id_124,7.88181065409
id_125,23.446534165
id_126,21.7401670567
id_127,8.33086747739
id_128,16.648953357
id_129,10.4536369833
id_130,-4.48023314867
id_131,32.5224013703
id_132,14.5744073446
id_133,18.1050947108
id_134,25.2069768084
id_135,22.6892937429
id_136,11.3030272905
id_137,23.3024153322
id_138,84.1021867766
id_139,59.2878507653
id_140,28.8058148266
id_141,16.4151862371
id_142,23.3656713382
id_143,7.94685048367
id_144,13.8539201149
id_145,11.7341145519
id_146,19.3460789147
id_147,8.48654453884
id_148,12.5576574777
id_149,14.9232824543
id_150,45.3398207767
id_151,18.5143971812
id_152,21.8535360202
id_153,13.1345954745
id_154,16.0866732808
id_155,23.9849639689
id_156,22.1618970771
id_157,36.5571631356
id_158,7.21870734402
id_159,20.4884958036
id_160,42.6189607426
id_161,18.4229239311
id_162,64.6169103216
id_163,16.2202231088
id_164,33.2865322699
id_165,24.6320764266
id_166,26.9297875457
id_167,0.60450915995
id_168,68.8957710828
id_169,15.9781765118
id_170,15.0226017493
id_171,75.1994827717
id_172,18.2607372177
id_173,4.50727528181
id_174,24.4666376357
id_175,0.910605545651
id_176,9.60472027852
id_177,20.2434470109
id_178,20.7136090693
id_179,23.0991049471
id_180,42.8604360087
id_181,33.6999285612
id_182,30.1329230027
id_183,15.2318260268
id_184,5.40837664086
id_185,40.7977832523
id_186,35.1481670958
id_187,33.7691656039
id_188,16.5695407167
id_189,23.0992627027
id_190,14.1237327236
id_191,15.3409650383
id_192,30.3728288
id_193,70.8979383844
id_194,28.8636501314
id_195,12.0836307421
id_196,61.4616075042
id_197,17.5930327847
id_198,20.1268545134
id_199,21.3747138884
id_200,159.471543395
id_201,23.9328436356
id_202,60.6698636073
id_203,9.06052126103
id_204,58.9036517784
id_205,34.305164677
id_206,12.4955610172
id_207,16.9803898525
id_208,64.084774947
id_209,17.0321369027
id_210,39.6113100546
id_211,71.0298863732
id_212,18.8643079567
id_213,93.9862173278
id_214,41.8712295334
id_215,73.3792190443
id_216,104.708079134
id_217,75.6662460703
id_218,31.1461937565
id_219,19.8382163347
id_220,32.2293574254
id_221,51.4396394534
id_222,27.0855955455
id_223,38.3609000207
id_224,42.7039570746
id_225,9.99993567843
id_226,6.49146911483
id_227,88.4309469267
id_228,28.6401370343
id_229,2.31664319857
id_230,39.5847055155
id_231,15.7472229439
id_232,21.1765067975
id_233,6.53527629243
id_234,17.712718467
id_235,23.1972327909
id_236,15.2462583661
id_237,6.58083711827
id_238,23.4241404947
id_239,11.2662495367
